Semi-Major Axis	Planet Radius	Planet Density	Planet Surface Pressure	kappa	gamma1	gamma2	alpha	beta	Planet Surface Temperature	Avg Mol Weight	Mean Surface Albedo
0.7969136180335283	0.8140480844615983	0.8465003701086686	0.8435998452927203	0.7939007645661529	0.8137676994049055	0.8091159507503034	0.8115532804366561	0.8157198744539219	0.8876167517964118	0.969397219668233	0.8163336557064631
0.7863844639837761	0.7195849514775415	0.843694565579607	0.825461756401481	0.7948914329809191	0.8096023298406553	0.8013960172250608	0.8153199175098391	0.815103581229407	0.9694906223778759	0.9605192001923277	0.8164017613996876
0.7829013706775295	0.8544661964923226	0.8476298633056711	0.8108989077903793	0.7948183273626133	0.8089477856010956	0.8060753863453708	0.8148121163822176	0.8149923088869112	0.8754989828574047	0.9492730423915325	0.8134888316213323
0.7780759957677793	0.34258588823734	0.8364000714194948	0.8413773068836088	0.7912882431068655	0.8061299371404134	0.8078217947846731	0.8135956402873051	0.8149119618024463	0.8185093953821652	0.9766730327177819	0.8145210084477549
0.7892535310930859	0.01407217494171047	0.47951864833091556	0.4795782449495811	0.4798787105336021	0.47999851186643244	0.48002026359693944	0.48002966648786843	0.48002862234478283	0.1902129517008901	0.4709762881550532	0.48628921636659656
0.7757567181485294	0.5424059768115881	0.8391831665615268	0.8275229811051799	0.7942081513313801	0.813758714456306	0.8069640675673131	0.8128001079045635	0.8151916401992111	0.9999999999999998	0.9767038494887084	0.8134686295637531
0.7865231202896226	0.46499386404398974	0.8377441085623829	0.8365210597126286	0.7941153703295409	0.8141240963880099	0.8082649607216581	0.8134660685602435	0.8140556794887382	0.8414832816645841	1.0	0.81541523954886
0.7800963517166406	0.7786999288482167	0.8452065326634252	0.8134532835106547	0.7950688940594417	0.8157982738763573	0.8078694512784025	0.8133637873625736	0.8150018261903687	0.7879508050100581	0.9823048957839552	0.8156220445077378
0.7857459370562537	1.0	0.8527101922303896	0.8097853884057603	0.7983901597809901	0.8012801512220648	0.8051466227362664	0.8116475986583895	0.8151179528358842	0.810650208028102	0.9834298696299637	0.8151151151978963
0.7874604450742548	0.6289377421001213	0.8401483155102881	0.8119313071378168	0.793859410987332	0.8150935801133103	0.8018554074124198	0.8104154775874819	0.8145610471066873	0.6727026707216991	0.966658321399577	0.817218730694438
0.7969136180335283	0.8140480844615983	0.8465003701086686	0.8435998452927203	0.7939007645661529	0.8137676994049055	0.8091159507503034	0.8115532804366561	0.8157198744539219	0.8876167517964118	0.969397219668233	0.8163336557064631
0.7863844639837761	0.7195849514775415	0.843694565579607	0.825461756401481	0.7948914329809191	0.8096023298406553	0.8013960172250608	0.8153199175098391	0.815103581229407	0.9694906223778759	0.9605192001923277	0.8164017613996876
0.7829013706775295	0.8544661964923226	0.8476298633056711	0.8108989077903793	0.7948183273626133	0.8089477856010956	0.8060753863453708	0.8148121163822176	0.8149923088869112	0.8754989828574047	0.9492730423915325	0.8134888316213323
0.7780759957677793	0.34258588823734	0.8364000714194948	0.8413773068836088	0.7912882431068655	0.8061299371404134	0.8078217947846731	0.8135956402873051	0.8149119618024463	0.8185093953821652	0.9766730327177819	0.8145210084477549
0.7757567181485294	0.5424059768115881	0.8391831665615268	0.8275229811051799	0.7942081513313801	0.813758714456306	0.8069640675673131	0.8128001079045635	0.8151916401992111	0.9999999999999998	0.9767038494887084	0.8134686295637531
0.7865231202896226	0.46499386404398974	0.8377441085623829	0.8365210597126286	0.7941153703295409	0.8141240963880099	0.8082649607216581	0.8134660685602435	0.8140556794887382	0.8414832816645841	1.0	0.81541523954886
0.7800963517166406	0.7786999288482167	0.8452065326634252	0.8134532835106547	0.7950688940594417	0.8157982738763573	0.8078694512784025	0.8133637873625736	0.8150018261903687	0.7879508050100581	0.9823048957839552	0.8156220445077378
0.7857459370562537	1.0	0.8527101922303896	0.8097853884057603	0.7983901597809901	0.8012801512220648	0.8051466227362664	0.8116475986583895	0.8151179528358842	0.810650208028102	0.9834298696299637	0.8151151151978963
0.7874604450742548	0.6289377421001213	0.8401483155102881	0.8119313071378168	0.793859410987332	0.8150935801133103	0.8018554074124198	0.8104154775874819	0.8145610471066873	0.6727026707216991	0.966658321399577	0.817218730694438
0.7969136180335283	0.8140480844615983	0.8465003701086686	0.8435998452927203	0.7939007645661529	0.8137676994049055	0.8091159507503034	0.8115532804366561	0.8157198744539219	0.8876167517964118	0.969397219668233	0.8163336557064631
0.7863844639837761	0.7195849514775415	0.843694565579607	0.825461756401481	0.7948914329809191	0.8096023298406553	0.8013960172250608	0.8153199175098391	0.815103581229407	0.9694906223778759	0.9605192001923277	0.8164017613996876
0.7829013706775295	0.8544661964923226	0.8476298633056711	0.8108989077903793	0.7948183273626133	0.8089477856010956	0.8060753863453708	0.8148121163822176	0.8149923088869112	0.8754989828574047	0.9492730423915325	0.8134888316213323
0.7780759957677793	0.34258588823734	0.8364000714194948	0.8413773068836088	0.7912882431068655	0.8061299371404134	0.8078217947846731	0.8135956402873051	0.8149119618024463	0.8185093953821652	0.9766730327177819	0.8145210084477549
0.7892535310930859	0.01407217494171047	0.47951864833091556	0.4795782449495811	0.4798787105336021	0.47999851186643244	0.48002026359693944	0.48002966648786843	0.48002862234478283	0.1902129517008901	0.4709762881550532	0.48628921636659656
0.35184755713402915	0.005289497987580605	0.42537447479571633	0.425550481479368	0.4255910447896119	0.42579732375761525	0.42577402705309736	0.42572793438261414	0.4257208286463421	0.1685872138049995	0.41294818942938116	0.4268968678181164
0.7757567181485294	0.5424059768115881	0.8391831665615268	0.8275229811051799	0.7942081513313801	0.813758714456306	0.8069640675673131	0.8128001079045635	0.8151916401992111	0.9999999999999998	0.9767038494887084	0.8134686295637531
0.7865231202896226	0.46499386404398974	0.8377441085623829	0.8365210597126286	0.7941153703295409	0.8141240963880099	0.8082649607216581	0.8134660685602435	0.8140556794887382	0.8414832816645841	1.0	0.81541523954886
0.7800963517166406	0.7786999288482167	0.8452065326634252	0.8134532835106547	0.7950688940594417	0.8157982738763573	0.8078694512784025	0.8133637873625736	0.8150018261903687	0.7879508050100581	0.9823048957839552	0.8156220445077378
0.7857459370562537	1.0	0.8527101922303896	0.8097853884057603	0.7983901597809901	0.8012801512220648	0.8051466227362664	0.8116475986583895	0.8151179528358842	0.810650208028102	0.9834298696299637	0.8151151151978963
0.7874604450742548	0.6289377421001213	0.8401483155102881	0.8119313071378168	0.793859410987332	0.8150935801133103	0.8018554074124198	0.8104154775874819	0.8145610471066873	0.6727026707216991	0.966658321399577	0.817218730694438
0.7969136180335283	0.8140480844615983	0.8465003701086686	0.8435998452927203	0.7939007645661529	0.8137676994049055	0.8091159507503034	0.8115532804366561	0.8157198744539219	0.8876167517964118	0.969397219668233	0.8163336557064631
0.7863844639837761	0.7195849514775415	0.843694565579607	0.825461756401481	0.7948914329809191	0.8096023298406553	0.8013960172250608	0.8153199175098391	0.815103581229407	0.9694906223778759	0.9605192001923277	0.8164017613996876
0.7829013706775295	0.8544661964923226	0.8476298633056711	0.8108989077903793	0.7948183273626133	0.8089477856010956	0.8060753863453708	0.8148121163822176	0.8149923088869112	0.8754989828574047	0.9492730423915325	0.8134888316213323
0.7780759957677793	0.34258588823734	0.8364000714194948	0.8413773068836088	0.7912882431068655	0.8061299371404134	0.8078217947846731	0.8135956402873051	0.8149119618024463	0.8185093953821652	0.9766730327177819	0.8145210084477549
0.7757567181485294	0.5424059768115881	0.8391831665615268	0.8275229811051799	0.7942081513313801	0.813758714456306	0.8069640675673131	0.8128001079045635	0.8151916401992111	0.9999999999999998	0.9767038494887084	0.8134686295637531
0.7865231202896226	0.46499386404398974	0.8377441085623829	0.8365210597126286	0.7941153703295409	0.8141240963880099	0.8082649607216581	0.8134660685602435	0.8140556794887382	0.8414832816645841	1.0	0.81541523954886
0.7800963517166406	0.7786999288482167	0.8452065326634252	0.8134532835106547	0.7950688940594417	0.8157982738763573	0.8078694512784025	0.8133637873625736	0.8150018261903687	0.7879508050100581	0.9823048957839552	0.8156220445077378
0.7857459370562537	1.0	0.8527101922303896	0.8097853884057603	0.7983901597809901	0.8012801512220648	0.8051466227362664	0.8116475986583895	0.8151179528358842	0.810650208028102	0.9834298696299637	0.8151151151978963
0.7874604450742548	0.6289377421001213	0.8401483155102881	0.8119313071378168	0.793859410987332	0.8150935801133103	0.8018554074124198	0.8104154775874819	0.8145610471066873	0.6727026707216991	0.966658321399577	0.817218730694438
0.7969136180335283	0.8140480844615983	0.8465003701086686	0.8435998452927203	0.7939007645661529	0.8137676994049055	0.8091159507503034	0.8115532804366561	0.8157198744539219	0.8876167517964118	0.969397219668233	0.8163336557064631
0.7863844639837761	0.7195849514775415	0.843694565579607	0.825461756401481	0.7948914329809191	0.8096023298406553	0.8013960172250608	0.8153199175098391	0.815103581229407	0.9694906223778759	0.9605192001923277	0.8164017613996876
0.7829013706775295	0.8544661964923226	0.8476298633056711	0.8108989077903793	0.7948183273626133	0.8089477856010956	0.8060753863453708	0.8148121163822176	0.8149923088869112	0.8754989828574047	0.9492730423915325	0.8134888316213323
0.7780759957677793	0.34258588823734	0.8364000714194948	0.8413773068836088	0.7912882431068655	0.8061299371404134	0.8078217947846731	0.8135956402873051	0.8149119618024463	0.8185093953821652	0.9766730327177819	0.8145210084477549
0.7892535310930859	0.01407217494171047	0.47951864833091556	0.4795782449495811	0.4798787105336021	0.47999851186643244	0.48002026359693944	0.48002966648786843	0.48002862234478283	0.1902129517008901	0.4709762881550532	0.48628921636659656
0.7757567181485294	0.5424059768115881	0.8391831665615268	0.8275229811051799	0.7942081513313801	0.813758714456306	0.8069640675673131	0.8128001079045635	0.8151916401992111	0.9999999999999998	0.9767038494887084	0.8134686295637531
0.7865231202896226	0.46499386404398974	0.8377441085623829	0.8365210597126286	0.7941153703295409	0.8141240963880099	0.8082649607216581	0.8134660685602435	0.8140556794887382	0.8414832816645841	1.0	0.81541523954886
0.7800963517166406	0.7786999288482167	0.8452065326634252	0.8134532835106547	0.7950688940594417	0.8157982738763573	0.8078694512784025	0.8133637873625736	0.8150018261903687	0.7879508050100581	0.9823048957839552	0.8156220445077378
0.7857459370562537	1.0	0.8527101922303896	0.8097853884057603	0.7983901597809901	0.8012801512220648	0.8051466227362664	0.8116475986583895	0.8151179528358842	0.810650208028102	0.9834298696299637	0.8151151151978963
0.7874604450742548	0.6289377421001213	0.8401483155102881	0.8119313071378168	0.793859410987332	0.8150935801133103	0.8018554074124198	0.8104154775874819	0.8145610471066873	0.6727026707216991	0.966658321399577	0.817218730694438
0.7969136180335283	0.8140480844615983	0.8465003701086686	0.8435998452927203	0.7939007645661529	0.8137676994049055	0.8091159507503034	0.8115532804366561	0.8157198744539219	0.8876167517964118	0.969397219668233	0.8163336557064631
0.8095451625567714	0.013633391210301628	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.38941376537904826	0.9663269297214458	1.0000000000000002
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
